"Id";"Nome";"Tipo";"Unidade";"Mín";"Máx";"Padrão";"Dígitos dec.";"Valor";"Somente Leitura";"Comparação";"Descrição"
"P0213";"PAR_0213";"WORD";"";"1";"65535";"100";"0";"43";"";"X";"Fator Escala da Barra"
"P0216";"PAR_0216";"WORD";"";"0: Desliga";"2: Reservado";"1: Liga";"0";"1: Liga";"";"";"Iluminação HMI"
"P0217";"PAR_0217";"WORD";"Hz";"0.0";"500.0";"0.0";"1";"16.0";"";"X";"Frequência para dormir"
"P0218";"PAR_0218";"WORD";"s";"0";"999";"0";"0";"10";"";"X";"Tempo para dormir"
"P0220";"PAR_0220";"WORD";"";"0: Sempre LOCAL";"11: SoftPLC";"2: Tecla HMI (LOC)";"0";"1: Sempre REMOTO";"";"X";"Seleção Fonte LOC/REM"
"P0221";"PAR_0221";"WORD";"";"0: HMI";"17: FI > 0";"0: HMI";"0";"0: HMI";"";"";"Sel. Referência LOC"
"P0222";"PAR_0222";"WORD";"";"0: HMI";"17: FI > 0";"1: AI1";"0";"0: HMI";"";"X";"Sel. Referência REM"
"P0223";"PAR_0223";"WORD";"";"0: Horário";"12: SoftPLC";"2: Tecla HMI (H)";"0";"2: Tecla HMI (H)";"";"";"Seleção Giro LOC"
"P0224";"PAR_0224";"WORD";"";"0: Tecla HMI";"5: SoftPLC";"0: Tecla HMI";"0";"0: Tecla HMI";"";"";"Seleção Gira/Pára LOC"
"P0225";"PAR_0225";"WORD";"";"0: Inativo";"6: SoftPLC";"1: Tecla HMI";"0";"1: Tecla HMI";"";"";"Seleção JOG LOC"
"P0226";"PAR_0226";"WORD";"";"0: Horário";"12: SoftPLC";"4: DIx";"0";"0: Horário";"";"X";"Seleção Giro REM"
"P0227";"PAR_0227";"WORD";"";"0: Tecla HMI";"5: SoftPLC";"1: DIx";"0";"5: SoftPLC";"";"X";"Seleção Gira/Pára REM"
"P0228";"PAR_0228";"WORD";"";"0: Inativo";"6: SoftPLC";"2: DIx";"0";"3: Serial/USB";"";"X";"Seleção JOG REM"
"P0229";"PAR_0229";"WORD";"";"0: Por Rampa";"2: Parada Rápida";"0: Por Rampa";"0";"0: Por Rampa";"";"";"Seleção Modo Parada"
"P0230";"PAR_0230";"WORD";"";"0: Inativa";"1: Ativa";"0: Inativa";"0";"0: Inativa";"";"";"Zona Morta (AIs)"
"P0231";"PAR_0231";"WORD";"";"0: Ref. Veloc.";"15: Função 8 Aplicação";"0: Ref. Veloc.";"0";"0: Ref. Veloc.";"";"";"Função do Sinal AI1"
"P0232";"PAR_0232";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho da Entrada AI1"
"P0233";"PAR_0233";"WORD";"";"0: 0 a 10V/20mA";"3: 20 a 4 mA";"0: 0 a 10V/20mA";"0";"0: 0 a 10V/20mA";"";"";"Sinal da Entrada AI1"
"P0234";"PAR_0234";"WORD";"%";"-100.0";"100.0";"0.0";"1";"0.0";"";"";"Offset da Entrada AI1"
"P0235";"PAR_0235";"WORD";"s";"0.00";"16.00";"0.00";"2";"0.00";"";"";"Filtro da Entrada AI1"
"P0236";"PAR_0236";"WORD";"";"0: Ref. Veloc.";"15: Função 8 Aplicação";"0: Ref. Veloc.";"0";"0: Ref. Veloc.";"";"";"Função do Sinal AI2"
"P0237";"PAR_0237";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho da Entrada AI2"
"P0238";"PAR_0238";"WORD";"";"0: 0 a 10V/20mA";"3: 20 a 4 mA";"0: 0 a 10V/20mA";"0";"0: 0 a 10V/20mA";"";"";"Sinal da Entrada AI2"
"P0239";"PAR_0239";"WORD";"%";"-100.0";"100.0";"0.0";"1";"0.0";"";"";"Offset da Entrada AI2"
"P0240";"PAR_0240";"WORD";"s";"0.00";"16.00";"0.00";"2";"0.00";"";"";"Filtro da Entrada AI2"
